Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
566,India,9,Uttar Pradesh,171,Moradabad,2021,Criminal,37554,27454,13787,22634,11514,694,89,113726,108349,389,4647,341,66392,1196,44589,1479,11710,7560,870,8071,72486
567,India,9,Uttar Pradesh,171,Moradabad,2021,Total,44476,34862,16231,24718,12226,885,303,133701,123797,1406,4888,3605,66564,4192,57278,5547,12447,8602,4227,10502,85753
568,India,9,Uttar Pradesh,172,Muzaffarnagar,2021,Civil,6769,4930,2604,2550,1226,233,275,18587,16225,383,815,1164,26,3603,10228,4576,655,712,2566,2041,11252
569,India,9,Uttar Pradesh,172,Muzaffarnagar,2021,Criminal,32342,29058,20996,30982,20903,2771,261,137313,129926,314,7070,5,67651,2943,51447,14980,8304,3801,489,3385,102318
570,India,9,Uttar Pradesh,172,Muzaffarnagar,2021,Total,39111,33988,23600,33532,22129,3004,536,155900,146151,697,7885,1169,67677,6546,61675,19556,8959,4513,3055,5426,113570
571,India,9,Uttar Pradesh,173,Pilibhit,2021,Civil,3912,2238,1142,1676,478,77,43,9566,8778,279,35,474,96,1927,5076,2389,734,725,1901,1149,5592
572,India,9,Uttar Pradesh,173,Pilibhit,2021,Criminal,58747,14111,10140,15243,7621,695,61,106618,102743,98,3777,0,26710,2777,27969,49007,1926,6689,510,4383,40194
573,India,9,Uttar Pradesh,173,Pilibhit,2021,Total,62659,16349,11282,16919,8099,772,104,116184,111521,377,3812,474,26806,4704,33045,51396,2660,7414,2411,5532,45786
574,India,9,Uttar Pradesh,174,Pratapgarh,2021,Civil,10887,10812,8026,13451,9758,3813,1176,57923,55158,1623,12,1130,4835,10104,33331,9641,964,1549,11857,5359,46878
575,India,9,Uttar Pradesh,174,Pratapgarh,2021,Criminal,34484,23917,14196,16071,12593,2694,414,104369,95614,803,7952,0,50649,3303,45597,2573,6711,5475,1381,8897,65555
576,India,9,Uttar Pradesh,174,Pratapgarh,2021,Total,45371,34729,22222,29522,22351,6507,1590,162292,150772,2426,7964,1130,55484,13407,78928,12214,7675,7024,13238,14256,112433
577,India,9,Uttar Pradesh,175,Rae Bareli,2021,Civil,8374.027804,8655.378769,4798.312816,7314.272504,4642.290918,544.7977771,74.17434524,34403.25493,33615.47223,280.498386,4.262893405,503.0214217,8992.147348,1296.772174,18346.64063,5222.044421,582.3112391,632.6133812,6081.443731,3300.332074,26764.14995
578,India,9,Uttar Pradesh,175,Rae Bareli,2021,Criminal,25239.73927,18477.08517,10930.91127,20009.16906,10783.41516,859.3993104,51.15472085,86350.87396,80039.23399,439.0780207,5872.561954,0,54381.73116,1885.051464,24091.31579,3834.898907,4739.484887,5120.587558,821.8858484,7797.684616,60625.16484
579,India,9,Uttar Pradesh,175,Rae Bareli,2021,Total,33613.76707,27132.46394,15729.22408,27323.44157,15425.70607,1404.197087,125.3290661,120754.1289,113654.7062,719.5764067,5876.824848,503.0214217,63373.87851,3181.823637,42437.95642,9056.943327,5321.796126,5753.200939,6903.329579,11098.01669,87389.31479
580,India,9,Uttar Pradesh,176,Rampur,2021,Civil,4067,1894,915,688,250,73,68,7955,6613,309,516,517,82,1046,4023,2614,345,464,1411,1433,3316
581,India,9,Uttar Pradesh,176,Rampur,2021,Criminal,33573,16052,8711,10147,6332,755,47,75617,70107,260,5250,0,27458,623,30032,14210,15920,4081,824,5055,29152
582,India,9,Uttar Pradesh,176,Rampur,2021,Total,37640,17946,9626,10835,6582,828,115,83572,76720,569,5766,517,27540,1669,34055,16824,16265,4545,2235,6488,32468
583,India,9,Uttar Pradesh,177,Saharanpur,2021,Civil,7115,5798,2834,2897,1498,356,372,20870,17536,538,1081,1716,735,1360,16390,2328,881,1422,2454,2542,13188
584,India,9,Uttar Pradesh,177,Saharanpur,2021,Criminal,52068,40071,20572,24072,19484,4358,341,160966,146585,726,13642,13,67020,6118,75744,10648,10631,9144,1537,7754,50729
585,India,9,Uttar Pradesh,177,Saharanpur,2021,Total,59183,45869,23406,26969,20982,4714,713,181836,164121,1264,14723,1729,67755,7478,92134,12976,11512,10566,3991,10296,63917
586,India,9,Uttar Pradesh,178,Sant Kabeer Nagar,2021,Civil,2865,2737,1923,2323,809,116,9,10782,9675,208,614,285,937,1487,5836,2522,212,130,2622,1603,7597
587,India,9,Uttar Pradesh,178,Sant Kabeer Nagar,2021,Criminal,31456,11618,6046,12816,4384,534,45,66899,64349,280,2270,0,28404,609,33534,4350,2701,3532,862,3958,35298
588,India,9,Uttar Pradesh,178,Sant Kabeer Nagar,2021,Total,34321,14355,7969,15139,5193,650,54,77681,74024,488,2884,285,29341,2096,39370,6872,2913,3662,3484,5561,42895
589,India,9,Uttar Pradesh,179,Bhadohi,2021,Civil,3891,3387,2095,2889,2042,877,399,15580,14369,399,342,470,2149,2502,8954,1975,374,264,4387,1918,11226
590,India,9,Uttar Pradesh,179,Bhadohi,2021,Criminal,9976,6685,4108,6048,4503,318,15,31653,29348,106,2199,0,9230,1110,18296,3013,2393,3565,985,3207,19717
591,India,9,Uttar Pradesh,179,Bhadohi,2021,Total,13867,10072,6203,8937,6545,1195,414,47233,43717,505,2541,470,11379,3612,27250,4988,2767,3829,5372,5125,30943
592,India,9,Uttar Pradesh,180,Shahjahanpur,2021,Civil,5791,4488,2210,2248,370,102,110,15319,14068,337,365,506,251,664,11284,2059,580,435,2602,2404,8661
593,India,9,Uttar Pradesh,180,Shahjahanpur,2021,Criminal,39202,25914,12890,15356,9209,2656,174,105401,93878,349,11154,0,18892,519,61648,3144,6840,5938,670,7789,63791
594,India,9,Uttar Pradesh,180,Shahjahanpur,2021,Total,44993,30402,15100,17604,9579,2758,284,120720,107946,686,11519,506,19143,1183,72932,5203,7420,6373,3272,10193,72452
595,India,9,Uttar Pradesh,181,Shravasti,2021,Civil,2111,2656,1017,1389,371,9,0,7553,7183,115,215,40,70,759,3353,3370,157,181,1933,987,5384
596,India,9,Uttar Pradesh,181,Shravasti,2021,Criminal,18156,6185,3178,4933,2908,99,0,35459,33898,106,1455,0,21615,566,12373,898,3554,2652,348,2093,16469
597,India,9,Uttar Pradesh,181,Shravasti,2021,Total,20267,8841,4195,6322,3279,108,0,43012,41081,221,1670,40,21685,1325,15726,4268,3711,2833,2281,3080,21853
598,India,9,Uttar Pradesh,182,Siddharth Nagar,2021,Civil,5025,4696,3203,5814,4420,1274,273,24705,23791,285,562,67,1944,4959,13583,3479,357,234,6202,2452,17787
599,India,9,Uttar Pradesh,182,Siddharth Nagar,2021,Criminal,29545,11517,9052,12680,11103,2668,318,76883,59627,9944,7303,9,32836,2873,36554,2461,11444,8270,1124,6450,46001
600,India,9,Uttar Pradesh,182,Siddharth Nagar,2021,Total,34570,16213,12255,18494,15523,3942,591,101588,83418,10229,7865,76,34780,7832,50137,5940,11801,8504,7326,8902,63788
601,India,9,Uttar Pradesh,183,Sitapur,2021,Civil,7276,7147,3031,3763,1542,278,138,23175,22112,531,187,325,1515,4089,10009,7541,608,691,4843,3377,15394
602,India,9,Uttar Pradesh,183,Sitapur,2021,Criminal,28472,30239,18215,32843,27866,5377,482,143494,123102,239,20114,0,69469,8902,53080,11795,8332,6869,1517,15988,112153
603,India,9,Uttar Pradesh,183,Sitapur,2021,Total,35748,37386,21246,36606,29408,5655,620,166669,145214,770,20301,325,70984,12991,63089,19336,8940,7560,6360,19365,127547
604,India,9,Uttar Pradesh,184,Sonbhadra,2021,Civil,2848,2726,1522,2587,859,89,17,10648,8585,480,1186,385,14,1698,6400,2261,310,445,2178,1393,7223
605,India,9,Uttar Pradesh,184,Sonbhadra,2021,Criminal,19344,12056,6235,11925,8142,1308,221,59231,55571,37,3620,3,965,2054,20845,3485,3042,3759,829,4510,35676
606,India,9,Uttar Pradesh,184,Sonbhadra,2021,Total,22192,14782,7757,14512,9001,1397,238,69879,64156,517,4806,388,979,3752,27245,5746,3352,4204,3007,5903,42899
607,India,9,Uttar Pradesh,185,Sultanpur,2021,Civil,9648.482711,8893.953142,5708.375494,9966.078066,6563.637328,2935.351004,555.6314688,44271.50922,42059.24905,775.7025933,744.905468,691.6521055,1365.339221,4956.412352,27104.67829,10351.04213,649.3060583,510.7189944,9439.960509,5010.948928,24957.86202
608,India,9,Uttar Pradesh,185,Sultanpur,2021,Criminal,21233.33468,14288.58292,10476.15545,23680.42292,14963.55325,1933.802826,185.4243585,86761.27641,78918.91678,402.2874491,7425.956836,14.75695587,35666.27912,803.2916847,44585.89654,3770.723028,2657.53527,2063.407395,1090.089914,7452.262714,36071.133
609,India,9,Uttar Pradesh,185,Sultanpur,2021,Total,30881.81739,23182.53606,16184.53095,33646.50099,21527.19058,4869.15383,741.0558274,131032.7856,120978.1658,1177.990042,8170.862304,706.4090614,37031.61834,5759.704037,71690.57483,14121.76516,3306.841328,2574.126389,10530.05042,12463.21164,61028.99501
610,India,9,Uttar Pradesh,186,Unnao,2021,Civil,6774,5843,3542,4664,2279,581,94,23777,22404,318,662,393,1113,1624,11577,9450,620,356,5745,3137,16488
611,India,9,Uttar Pradesh,186,Unnao,2021,Criminal,23111,22412,10938,11668,11524,2114,143,81910,66720,287,14903,0,32417,4770,38584,4997,6945,8469,1210,6107,56929
612,India,9,Uttar Pradesh,186,Unnao,2021,Total,29885,28255,14480,16332,13803,2695,237,105687,89124,605,15565,393,33530,6394,50161,14447,7565,8825,6955,9244,73417
613,India,9,Uttar Pradesh,187,Varanasi,2021,Civil,12983,12413,8110,12672,5263,1147,731,53319,49008,2280,501,1530,16787,4241,26217,5466,1318,1250,6044,4918,33418
614,India,9,Uttar Pradesh,187,Varanasi,2021,Criminal,35625,32580,20116,46709,6315,788,100,142233,133708,761,7762,3,90352,1543,44228,5024,8863,8992,1137,5876,56980
615,India,9,Uttar Pradesh,187,Varanasi,2021,Total,48608,44993,28226,59381,11578,1935,831,195552,182716,3041,8263,1533,107139,5784,70445,10490,10181,10242,7181,10794,90398
616,India,9,Uttar Pradesh,633,Kasganj,2021,Civil,2633,1696,1003,782,343,101,53,6611,5809,139,468,195,79,553,3466,2433,763,908,1301,1136,3264
617,India,9,Uttar Pradesh,633,Kasganj,2021,Criminal,9676,10596,8329,6159,2065,92,8,36925,31961,118,4845,0,15997,689,7505,755,2745,3501,808,4950,24921
618,India,9,Uttar Pradesh,633,Kasganj,2021,Total,12309,12292,9332,6941,2408,193,61,43536,37770,257,5313,195,16076,1242,10971,3188,3508,4409,2109,6086,28185
656,India,10,Bihar,196,Gaya,2021,Criminal,26097,32659,23840,31227,15184,1472,148,130627,111679,1007,1130,0,45171,6391,28078,47328,2439,1714,1561,8727,76473
657,India,10,Bihar,196,Gaya,2021,Total,29890,38558,28118,35719,16938,1872,220,151315,129598,2143,1974,789,52377,9040,37272,47981,2762,1794,5364,12925,89427
658,India,10,Bihar,197,Gopalganj,2021,Civil,3168,4120,2572,3915,2279,740,242,17036,13538,1138,1456,904,4022,5141,7133,727,347,125,4630,2333,12891
619,India,9,Uttar Pradesh,640,Amethi,2021,Civil,6837.489485,6464.66809,4018.311689,6831.64943,4469.071754,1733.851218,323.1941859,30678.23585,29306.27872,481.7990207,416.8316386,473.3264727,2317.513431,2992.815475,18312.68107,6684.913447,463.3827027,394.6676243,6324.59576,3369.718998,18568.98803
620,India,9,Uttar Pradesh,640,Amethi,2021,Criminal,16224.92605,11176.3319,7741.933278,16687.40801,10223.03159,1228.797864,112.4209206,63394.84963,57922.84924,300.6345302,5163.48121,8.243044131,29325.98971,774.6568518,29070.78768,2769.378065,2303.979843,2038.005048,751.0242376,5511.05267,30631.70216
621,India,9,Uttar Pradesh,640,Amethi,2021,Total,23062.41554,17640.99999,11760.24497,23519.05744,14692.10335,2962.649082,435.6151066,94073.08548,87229.12796,782.4335509,5580.312848,481.5695169,31643.50315,3767.472326,47383.46875,9454.291512,2767.362545,2432.672672,7075.619998,8880.771669,49200.69019
622,India,9,Uttar Pradesh,659,Sambhal,2021,Civil,6883,7497,3352,3641,178,22,58,21631,20736,136,469,290,192,633,5264,11154,531,242,2340,3691,13776
623,India,9,Uttar Pradesh,659,Sambhal,2021,Criminal,19420,19070,4999,5315,3795,1269,129,53997,50986,230,2778,4,16841,325,15010,1395,3875,5393,500,3694,32459
624,India,9,Uttar Pradesh,659,Sambhal,2021,Total,26303,26567,8351,8956,3973,1291,187,75628,71722,366,3247,294,17033,958,20274,12549,4406,5635,2840,7385,46235
625,India,9,Uttar Pradesh,660,Shamli,2021,Civil,2246,2546,452,305,112,49,56,5766,4950,216,159,441,1332,353,3013,1012,216,159,900,495,3194
626,India,9,Uttar Pradesh,660,Shamli,2021,Criminal,20888,15354,2090,2300,1879,472,28,43011,41088,159,1764,0,31173,385,9242,1330,3458,3454,848,1034,13774
627,India,9,Uttar Pradesh,660,Shamli,2021,Total,23134,17900,2542,2605,1991,521,84,48777,46038,375,1923,441,32505,738,12255,2342,3674,3613,1748,1529,16968
628,India,9,Uttar Pradesh,661,Hapur,2021,Civil,2938,2144,1192,557,185,62,95,7173,5419,393,582,779,714,988,3864,1570,340,276,1245,1100,3591
629,India,9,Uttar Pradesh,661,Hapur,2021,Criminal,15181,13086,6736,11957,11062,1908,235,60165,55817,342,4006,0,21343,1046,22006,2762,6349,4201,720,3354,41504
630,India,9,Uttar Pradesh,661,Hapur,2021,Total,18119,15230,7928,12514,11247,1970,330,67338,61236,735,4588,779,22057,2034,25870,4332,6689,4477,1965,4454,45095
631,India,10,Bihar,188,Araria,2021,Civil,2034,2751,1233,1330,921,370,81,8720,6759,188,1487,286,2553,588,1349,232,157,41,1550,2097,6549
632,India,10,Bihar,188,Araria,2021,Criminal,12497,15498,11049,13269,8785,895,78,62071,61574,168,327,0,24453,2066,16902,12100,819,1155,2654,14361,45330
633,India,10,Bihar,188,Araria,2021,Total,14531,18249,12282,14599,9706,1265,159,70791,68333,356,1814,286,27006,2654,18251,12332,976,1196,4204,16458,51879
634,India,10,Bihar,189,Aurangabad,2021,Civil,1807,2448,1490,1997,1088,196,66,9092,7082,640,513,441,4344,843,3754,148,204,111,1860,2135,3295
635,India,10,Bihar,189,Aurangabad,2021,Criminal,11536,12676,9444,12992,7862,647,160,55317,23233,483,168,0,18190,2931,21006,11032,1045,634,1461,6474,21718
636,India,10,Bihar,189,Aurangabad,2021,Total,13343,15124,10934,14989,8950,843,226,64409,30315,1123,681,441,22534,3774,24760,11180,1249,745,3321,8609,25013
637,India,10,Bihar,190,Banka,2021,Civil,1169,1545,836,976,582,143,32,5283,3999,192,667,417,2003,165,23,85,65,10,329,813,3358
638,India,10,Bihar,190,Banka,2021,Criminal,12632,12605,9833,11658,6471,832,139,54170,53367,185,616,0,21099,980,3175,7929,933,340,1535,9155,25441
639,India,10,Bihar,190,Banka,2021,Total,13801,14150,10669,12634,7053,975,171,59453,57366,377,1283,417,23102,1145,3198,8014,998,350,1864,9968,28799
640,India,10,Bihar,191,Begusarai,2021,Civil,2195,3795,1965,2773,1101,274,122,12225,10163,482,674,836,4758,1482,5558,411,149,108,1532,2491,8431
641,India,10,Bihar,191,Begusarai,2021,Criminal,16670,24362,11161,17682,10366,1404,97,81742,79606,1398,738,0,28413,20307,27168,2510,1424,2517,2077,11520,56086
642,India,10,Bihar,191,Begusarai,2021,Total,18865,28157,13126,20455,11467,1678,219,93967,89769,1880,1412,836,33171,21789,32726,2921,1573,2625,3609,14011,64517
643,India,10,Bihar,192,Bhagalpur,2021,Civil,3485,5095,2966,4201,2062,488,247,18544,15236,1188,1313,806,7218,2903,7697,715,322,123,2481,2420,9648
644,India,10,Bihar,192,Bhagalpur,2021,Criminal,20606,24413,14667,19596,11132,904,117,91435,89398,837,1200,0,31874,1898,33404,18560,1716,1115,3060,11365,51973
645,India,10,Bihar,192,Bhagalpur,2021,Total,24091,29508,17633,23797,13194,1392,364,109979,104634,2025,2513,806,39092,4801,41101,19275,2038,1238,5541,13785,61621
646,India,10,Bihar,193,Bhojpur,2021,Civil,3821,4972,3225,4257,2245,563,129,19212,15629,965,1455,1163,10355,2210,5840,744,344,102,1296,2914,14098
647,India,10,Bihar,193,Bhojpur,2021,Criminal,16649,20656,12200,15362,13245,1374,171,79657,78081,584,992,0,33543,3371,22987,19336,1265,1264,575,3585,56177
648,India,10,Bihar,193,Bhojpur,2021,Total,20470,25628,15425,19619,15490,1937,300,98869,93710,1549,2447,1163,43898,5581,28827,20080,1609,1366,1871,6499,70275
649,India,10,Bihar,194,Buxar,2021,Civil,2982,3529,2301,2623,1519,596,318,13868,11094,706,1338,730,5522,3342,4743,248,227,66,2764,2341,9798
650,India,10,Bihar,194,Buxar,2021,Criminal,9029,11338,8392,9621,7548,1636,238,47802,46668,534,600,0,22324,930,16616,7500,549,790,404,2671,34208
651,India,10,Bihar,194,Buxar,2021,Total,12011,14867,10693,12244,9067,2232,556,61670,57762,1240,1938,730,27846,4272,21359,7748,776,856,3168,5012,44006
652,India,10,Bihar,195,Darbhanga,2021,Civil,2558,3569,2574,3351,1371,367,291,14081,12276,381,722,620,2352,3199,6993,1097,181,49,3355,2634,11077
653,India,10,Bihar,195,Darbhanga,2021,Criminal,13730,16703,13723,21143,7920,1249,197,74665,58899,808,1059,0,31586,3263,27724,11202,798,883,1947,7985,58351
654,India,10,Bihar,195,Darbhanga,2021,Total,16288,20272,16297,24494,9291,1616,488,88746,71175,1189,1781,620,33938,6462,34717,12299,979,932,5302,10619,69428
655,India,10,Bihar,196,Gaya,2021,Civil,3793,5899,4278,4492,1754,400,72,20688,17919,1136,844,789,7206,2649,9194,653,323,80,3803,4198,12954
659,India,10,Bihar,197,Gopalganj,2021,Criminal,15579,17055,12727,15965,10421,1891,320,73958,71929,1470,559,0,32897,6231,22734,11950,985,1086,3311,8904,53831
660,India,10,Bihar,197,Gopalganj,2021,Total,18747,21175,15299,19880,12700,2631,562,90994,85467,2608,2015,904,36919,11372,29867,12677,1332,1211,7941,11237,66722
661,India,10,Bihar,198,Jamui,2021,Civil,1299,1547,947,1023,323,50,21,5210,4421,312,335,125,2383,308,2036,318,82,19,835,1299,1314
662,India,10,Bihar,198,Jamui,2021,Criminal,9084,10671,7571,10859,4713,379,42,43319,42708,167,442,0,14547,9418,16877,1606,582,945,1008,4953,4900
663,India,10,Bihar,198,Jamui,2021,Total,10383,12218,8518,11882,5036,429,63,48529,47129,479,777,125,16930,9726,18913,1924,664,964,1843,6252,6214
664,India,10,Bihar,199,Jehanabad,2021,Civil,1248,1799,933,992,342,57,15,5386,3679,331,502,240,2156,1154,1949,119,106,31,1008,943,2780
665,India,10,Bihar,199,Jehanabad,2021,Criminal,9631,10524,6578,7666,4186,387,66,39038,30978,236,238,0,15946,1780,13221,6209,768,648,763,2382,18450
666,India,10,Bihar,199,Jehanabad,2021,Total,10879,12323,7511,8658,4528,444,81,44424,34657,567,740,240,18102,2934,15170,6328,874,679,1771,3325,21230
667,India,10,Bihar,200,Kaimur (Bhabua),2021,Civil,2984,3185,1987,2814,1321,342,54,12687,10414,751,922,400,3516,3661,4704,734,262,141,3207,2335,9086
668,India,10,Bihar,200,Kaimur (Bhabua),2021,Criminal,7568,9878,7557,7879,4474,506,176,38038,37401,389,248,0,11233,9439,15976,1335,546,502,809,3104,27878
669,India,10,Bihar,200,Kaimur (Bhabua),2021,Total,10552,13063,9544,10693,5795,848,230,50725,47815,1140,1170,400,14749,13100,20680,2069,808,643,4016,5439,36964
670,India,10,Bihar,201,Katihar,2021,Civil,1845,2822,1477,2463,792,203,45,9647,8343,187,662,441,2596,2052,3350,525,236,141,1568,2655,6298
671,India,10,Bihar,201,Katihar,2021,Criminal,10327,18143,12958,15918,8346,704,40,66436,65786,354,296,0,30324,12281,21413,1239,740,1040,1185,6040,51759
672,India,10,Bihar,201,Katihar,2021,Total,12172,20965,14435,18381,9138,907,85,76083,74129,541,958,441,32920,14333,24763,1764,976,1181,2753,8695,58057
673,India,10,Bihar,202,Khagaria,2021,Civil,816,1116,707,1008,483,85,27,4242,3289,308,281,343,1213,642,1272,172,111,32,1028,1023,3081
674,India,10,Bihar,202,Khagaria,2021,Criminal,9119,12008,7168,11038,6616,800,160,46909,44532,440,365,0,17034,4389,13053,7266,725,751,1938,8541,32008
675,India,10,Bihar,202,Khagaria,2021,Total,9935,13124,7875,12046,7099,885,187,51151,47821,748,646,343,18247,5031,14325,7438,836,783,2966,9564,35089
